TradeId,Side,QuantityContracts,EntryTimeUtc,EntryPrice,EMA_20_AtEntry,EMA_50_AtEntry,EMA_100_AtEntry
1,Sell,1,2026-04-02 02:59:19,23889.98238518367629140,23899.785741206031297308878683,23909.151542015649735000948958,23923.643169944866113054815642
2,Buy,1,2026-04-02 04:33:19,23942.03728367669378660,23919.713090968692582820764795,23910.979474347441816261713231,23910.653521351992339014044427
3,Sell,1,2026-04-02 05:08:19,23881.474656011664579540,23905.971105930807230388812075,23914.412468559774010330655046,23914.950936355109480402111316
4,Buy,1,2026-04-02 08:02:19,23874.180967781776934740,23855.012884971892753400585288,23841.279527447598184377750409,23841.095673398777145110829259
